class,x,y
2,-1.6098,-1.7631
1,0.71215,-0.070606
2,1.3692,1.2565
1,-0.025513,0.12073
2,1.8493,0.93211
1,-0.84681,-0.77855
1,-0.10142,-0.57506
1,-0.39631,-0.86564
1,0.64391,0.71632
2,1.3482,-0.36452
1,-0.84546,-0.60703
3,-2.161,0.4653
2,1.7914,0.87707
1,-0.59781,-0.87774
2,-0.67768,-1.563
1,0.023954,-0.30987
3,-1.8799,-2.6044
2,-0.67794,1.0089
1,-0.063589,0.65094
3,-1.5524,-3.1131
1,0.090609,0.18244
1,-0.36675,-0.57356
1,-0.79275,-0.37799
2,-0.82955,-1.8169
2,-0.35627,-1.7621
1,-0.40189,0.3713
1,-0.19319,-0.59494
1,0.50486,0.60779
1,0.78709,0.66787
1,0.60483,-0.0082064
1,0.30502,0.93132
2,1.1241,-0.34343
1,0.6529,-0.25205
2,-0.64502,1.2607
1,0.71837,0.66725
1,0.64218,0.4356
1,0.16876,0.078802
1,0.3357,-0.10338
2,-0.61505,-1.6279
1,0.17717,0.15344
1,0.031666,0.5794
1,0.18398,0.41528
1,0.42884,0.75055
1,-0.35392,-0.69661
1,0.1354,-0.34211
1,-0.25249,0.46433
2,0.58183,-1.3438
2,-0.72338,0.84768
1,-0.26532,-0.90821
1,-0.13402,-0.57433
1,0.0698,0.61604
2,-0.37439,1.3772
1,0.029812,0.42248
2,1.8069,0.16425
1,-0.093792,-0.060221
1,-0.37296,-0.5603
1,-0.0069009,-0.57738
2,-1.1549,-1.8321
1,-0.56886,-0.12095
1,-0.22095,0.6029
3,2.5911,2.4061
2,-1.802,-0.52458
2,-0.93619,0.57507
1,0.47061,0.35483
1,-0.80488,-0.2207
2,1.7045,1.3873
1,-0.71506,0.18633
1,0.3253,0.22138
1,-0.16941,0.72803
1,0.39613,0.82512
2,-1.6855,0.031828
1,0.66596,0.71184
1,0.88903,0.53031
1,-0.80372,-0.74896
1,0.28482,-0.020319
1,-0.87135,-0.70864
1,0.57447,0.19965
1,-0.19703,-0.59004
2,1.0971,1.4616
3,1.2107,-1.6196
2,-1.3335,-1.483
1,-0.35285,-0.41297
1,-0.30022,-0.61309
2,0.53528,1.4959
3,3.5886,1.4709
2,0.24369,-1.4811
1,-0.40754,-0.79549
2,-1.3456,-0.01341
2,-1.8216,-1.218
1,0.48834,0.1379
2,0.9843,-0.81975
2,1.8829,0.80422
1,-0.39242,0.49745
2,0.28323,-1.567
2,0.93768,1.5588
2,1.8404,0.51998
2,0.041217,1.3246
1,0.6758,0.14221
1,0.30492,0.34945
1,0.074065,-0.78389
1,0.42017,0.73673
2,-1.331,0.13641
1,-0.11209,0.3342
1,0.76803,0.22437
1,0.21981,0.43399
